Butaro HD District Hospital | Burera,542056,593392
Butaro Health Center | Burera,24091,26373
Kirambo Health Center | Burera,24091,26373
Kinyababa Health Center | Burera,24091,26373
Kivuye Health Center | Burera,24091,26373
Kinoni Health Center | Burera,24091,26373
Gitare Health Center | Burera,24091,26373
Mucaca Health Center | Burera,24091,26373
Rusasa Health Center | Burera,24091,26373
Nyamugali Health Center | Burera,24091,26373
Ruhunde Health Center | Burera,24091,26373
Rwerere Health Center | Burera,24091,26373
Bungwe Health Center | Burera,24091,26373
Ntaruka Health Center | Burera,24091,26373
Cyanika (BURERA) Health Center | Burera,24091,26373
Gahunga Health Center | Burera,24091,26373
Rwinkwavu HD District Hospital | Kayonza,702665,770703
Ndego Health Center | Kayonza,234222,256901
Rwinkwavu Health Center | Kayonza,234222,256901
Kirehe HD District Hospital | Kirehe,762894,846792
Kirehe Health Center | Kirehe,127149,141132
Mulindi Health Center | Kirehe,127149,141132
Nyarubuye (KIREHE) Health Center | Kirehe,127149,141132
Rusumo Health Center | Kirehe,127149,141132
